"Header","Activities","Periods","Labour","Output","ValueAdded","Label"
"Environmental domains, total","Insulation activities constr. industry",2012,17.5,2120,926,"Insulation activitie [...]"
"Environmental domains, total","Insulation activities constr. industry",2013,18,2219,977,"Insulation activitie [...]"
"Environmental domains, total","Insulation activities constr. industry",2014,19.2,2442,1128,"Insulation activitie [...]"
"Environmental domains, total","Insulation activities constr. industry",2015,19.4,2614,1232,"Insulation activitie [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2001,3.4,588,353,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2002,3.9,666,400,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2003,4,772,443,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2004,3.8,780,454,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2005,3.8,776,462,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2006,3.7,792,461,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2007,3.5,819,457,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2008,3.5,865,476,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2009,3.6,916,496,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2010,3.9,991,554,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2011,3.9,1072,597,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2012,3.9,1112,623,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2013,4,1138,654,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2014,4.1,1176,692,"Water quantity man.  [...]"
"Environmental domains, total","Water quantity man. by Water Authorities",2015,4.1,1251,759,"Water quantity man.  [...]"
"Environmental domains, total","Specialised producers of env. services",2001,21.4,4141,1544,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2002,22.2,4418,1650,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2003,23,4643,1773,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2004,22.2,4616,1706,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2005,22,4495,1684,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2006,21.6,4657,1801,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2007,21.9,4932,1983,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2008,22.1,5511,2262,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2009,23,5425,2166,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2010,22.8,5324,2067,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2011,22.8,5545,2082,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2012,21.8,5249,1964,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2013,21.6,5451,2024,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2014,21.9,5585,2072,"Specialised producer [...]"
"Environmental domains, total","Specialised producers of env. services",2015,21.8,5428,1976,"Specialised producer [...]"
"Environmental domains, total","Other governmental activities",2001,25.8,3269,1937,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2002,26.7,3491,2047,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2003,28.5,3743,2227,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2004,27.8,3835,2296,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2005,26.3,3890,2316,"Other governmental a [...]"
